db_name,canonical_name,lat,long,checked
PIMENTEL HALL,Pimentel Hall,37.8734146,-122.256025,1
735 GOODING WAY,735 Gooding Way,37.8841074,-122.3010568,1
SIGNPOST-14,,,,1
2120 BERKELEY WAY,2120 Berkeley Way,37.8729548,-122.2676293,1
MINOR HALL ADDITION,Minor Hall Addition,37.8713112,-122.2551727,1
0 HAZ MAT FAC,,,,1
LBNL-65,Lawrence Berkeley National Laboratory,37.8754404,-122.2455364,1
BLUM HALL,Blum Hall,37.8750255,-122.2588054,1
0 GAYLEY ROAD,Gayley Rd,37.8739414,-122.2554853,1
0 UNIT-1 CHRISTIAN,Unit 1 Christian Hall,37.8680352,-122.2545825,1
555 OHLONE AVE,555 Ohlone Ave,37.8851975,-122.3034358,1
425 LIBERTY SHIP WAY,"Liberty Ship, Albany, CA 94706, USA",37.8840184,-122.3044786,1
0 CALIFORNIA HALL,California Hall,37.8718399,-122.2603363,1
LBNL-67,Lawrence Berkeley National Laboratory,37.8754404,-122.2455364,1
HEARST MINING CIR,Hearst Mining Circle,37.8735547,-122.2570583,1
UVA-170,University Village,37.8849256,-122.3010808,1
2151 BERKELEY WAY,2151 Berkeley Way,37.87385,-122.266984,1
1995 UNIVERSITY,1995 University Ave,37.8722046,-122.2712868,1
BANCROFT/DANA,Bancroft Way & Dana St,37.868458,-122.261913,1
0 ETCHEVERRY HALL,Etcheverry Hall,37.8756626,-122.2592805,1
CHANNING/BOWDITCH APTS,Channing-Bowditch Apartments,37.8673656,-122.2573096,1
UVA-153,University Village,37.8849256,-122.3010808,1
RAMONAS CAFE,Ramona’s Cafe,37.8707352,-122.254894,1
LBNL-26,Lawrence Berkeley National Laboratory,37.8754404,-122.2455364,1
747 RED OAK AVE,747 Red Oak Ave,37.8830619,-122.3025834,1
WILLARD PARK,Willard Park,37.8610996,-122.2565283,1
2420 BOWDITCH ST,2420 Bowditch St,37.866835,-122.2564653,1
UCSF,,,,1
405 RED OAK AVE,405 Red Oak Ave,37.8830619,-122.3025834,1
SIGNPOST-15,,,,1
600 GOODING WAY,600 Gooding Way,37.8841439,-122.3014511,1
SPIEKER POOL,Spieker Pool,37.8688137,-122.262123,1
2311 BOWDITCH ST,2311 Bowditch St,37.868544,-122.25651,1
FOOTHILL-7,Foothill Building 7,37.8743169,-122.2543218,1
0 NORTHGATE HALL,North Gate Hall,37.8749998,-122.2596684,1
2427 DWIGHT WAY,2427 Dwight Way,37.8651852,-122.2594926,1
CKC-17,Clark Kerr Campus Building 17,37.8638051,-122.24936,1
UVA COMMUNITY CENTER,University Village,37.8849256,-122.3010808,1
UVA-147,University Village,37.8849256,-122.3010808,1
0 REC SPRT FAC,Recreational Sports Facility,37.867412,-122.262819,1
WEST CIRCLE,West Circle,37.8722822,-122.2635248,1
2334 BOWDITCH,2334 Bowditch St,37.8669519,-122.2565397,1
UVA-122,University Village,37.8849256,-122.3010808,1
WARREN HALL,Earl Warren Hall,37.8744113,-122.2669733,1
2401 BANCROFT,2401 Bancroft Way,37.8686741,-122.2611621,1
LUDWIGS FOUNTAIN,Ludwig's Fountain,37.8695676,-122.2594891,1
530 KINKEAD WAY,530 Kinkead Way,37.8836953,-122.3025072,1
0 HEARST FIELD ANNEX,Hearst Field Annex,37.8694693,-122.2581587,1
540 RED OAK AVE,540 Red Oak Ave,37.8830619,-122.3025834,1
515 WEST END WAY,West End Way,37.8838859,-122.3050819,1
CKC-19,Clark Kerr Campus Building 19,37.8638051,-122.24936,1
DURANT/TELEGRAPH,Durant Ave & Telegraph Ave,37.867819,-122.258995,1
JONES CHILD CARE,Harold E. Jones Child Study Center,37.8657395,-122.264105,1
ON CAMPUS,Campus,37.8718992,-122.2585399,1
2536 CHANNING WAY/ANNA HEAD,Anna Head Alumnae Hall,37.8663273,-122.2575953,1
SOUTH STADIUM LOT,South Stadium Lot,37.8712097,-122.2502811,1
0 STEPHENS HALL,Stephens Hall,37.8712636,-122.2575921,1
BART,Downtown Berkeley BART Station,37.8700346,-122.2680138,1
0 CORY HALL,Cory Hall,37.8750364,-122.2573242,1
KLEEBERGER LOT,Kleeberger Lot,37.872979,-122.253961,1
0 PIMENTEL HALL,Pimentel Hall,37.8734146,-122.256025,1
UVA-166,University Village,37.8849256,-122.3010808,1
2220 BANCROFT WAY,2220 Bancroft Way,37.8678955,-122.2654129,1
0 UNIT-1 SLOTTMAN,Unit 1 Slottman Hall,37.867555,-122.2552224,1
2607 HEARST AV,2607 Hearst Ave,37.87569,-122.2578738,1
LBNL-54,Lawrence Berkeley National Laboratory,37.8754404,-122.2455364,1
RIMWAY ROAD,Stadium Rim Way,37.8722193,-122.2512802,1
2080 ADDISON ST,2080 Addison St,37.8708571,-122.2687878,1
OAKLAND SCIENCE FACILITY,Oakland Science Facility,37.808281,-122.267534,1
0 KOSHLAND HALL,Koshland Hall,37.8739448,-122.2649042,1
1750 ARCH ST,"1750 Arch St, Berkeley, CA 94709, USA",37.876573,-122.264576,1
1950 ADDISON,"1950 Addison St, Berkeley, CA 94704, USA",37.870451,-122.271731,1
2130 CENTER ST,"2130 Center St, Berkeley, CA 94704, USA",37.8702058,-122.2670882,1
2500 DWIGHT WAY,"2500 Dwight Way, Berkeley, CA 94704, USA",37.8651228,-122.2584226,1
2400 DURANT AV,"2400 Durant Ave, Berkeley, CA 94720, USA",37.8673847,-122.2609578,1
2415 BOWDITCH ST,"2415 Bowditch St, Berkeley, CA 94704, USA",37.8670289,-122.2561598,1
DURANT TELE,Durant Ave & Telegraph Ave,37.867819,-122.258995,1
0 STANLEY HALL,Stanley Hall,37.8740002,-122.2560525,1
HASTE/TELE,Telegraph Ave & Haste Ave,37.8660242,-122.258627,1
0 HAVILAND HALL,Haviland Hall,37.8737118,-122.2610484,1
2619 DWIGHT WAY,2619 Dwight Way,37.865752,-122.255835,1
JACKSON HOUSE,Ida Louise Jackson Graduate House,37.8681835,-122.2541189,1
CKC-16,Clark Kerr Campus Building 16,37.8638051,-122.24936,1
485 OHLONE AVE,485 Ohlone Ave,37.8849307,-122.3043907,1
HASTE/TELEGRAPH,Telegraph Ave & Haste Ave,37.8660242,-122.258627,1
